"record","uuid","date","hsample","hsampletype","state","s3","s4","h3r1","h3r2","h3r3","h3r4","h3r5","h3r7","h3none","s5","s6","s7","h1r1","h1r2","h1r3","h1r4","h1none","s8","s9","s10","rh","q1r1","q1r2","q1r3","q1r4","q1r5","q1r6","q1r7","q1r8","q1r9","q1r20","q1r10","q1r11","q1r12","q1r13","q1r14","q1r15","q1r16","q1r17","q1r18","q1r19","q2","q3","q4","q5","q6","q7","q8","q9r1","q9r2","q9r3","q9r4","q9r5","q9r6","q9r7","q9r8","q9r9","q9r10","q9r11","q9r12","q9r13","q9r14","q9r15","q10","q18r1","q18r2","q18r3","q18r4","q18r5","q18r6","q18r7","q18r8","q19","q20r1","q20r2","q20r3","q21r1","q21r2","q21r3","q21r4","q21r5","q21r6","q21r7","q21r8","q21r9","q22","q23","q24","q25","q26r1","q26r2","q26r3","q26r4","q26r5","q26r6","q26r7","q28","q29","q30","d1","d2","d3","d4r1","d4r2","d4r3","d4r4","d4r5","d5","d6","d12r1","d12r2","d12r3","d7","d8r1","d8r2","d8r3","d8r4","d8r5","d8r6","d8r7","d9r1","d9r2","d9r3","d9r4","d10","d11","conditionsmarker_split_b","conditionsmarker_split_a","vlist","qtime","vos","vosr15oe","vbrowser","vbrowserr15oe","vmobiledevice","vmobileos","start_date","azcounty","hpid3","q12","q16","az1","az2","az3","az4","az5","az6","az7","az8","az9","az10","az11","az12","az13","az14","az15","az16","az17","az18","q49","q50","q51","d13","weight","race","pid3"
2,"h1a64j2y5mn3yxju",10/19/2022 12:21:00,4,2,3,1,,0,0,0,0,1,0,0,1,2,1998,1,0,0,0,0,1,2,6,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1,3,2,3,5,5,4,5,5,6,,,,,,,5,5,,,6,1,1,1,2,1,4,4,4,2,,,,1,1,2,1,1,2,3,2,2,1,2,1,2,4,4,4,1,1,1,1,2,3,5,12,,2,0,0,0,1,0,1,3,1,2,3,4,0,0,1,0,0,0,1,2,4,4,4,2,3,0,1,4,854.49,13,,10,,5,6,10/19/2022 12:06:00,8,2,6,6,6,6,1,1,2,1,2,3,,1,1,3,4,3,5,,1,2,4,,2,,0.411264002323151,1,2
3,"fd14nyk5h4q9dq13",10/19/2022 12:14:00,4,2,3,1,,0,0,0,0,1,0,0,1,2,1971,0,0,1,0,0,1,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,10,1,4,1,4,1,,,,,,,1,1,,,2,1,1,1,1,4,4,1,4,2,,,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,21,2,1,1,0,0,0,0,6,2,1,3,2,2,0,0,1,0,0,0,0,1,1,1,1,2,1,1,0,4,359.67,14,,10,,1,2,10/19/2022 12:08:00,8,1,2,2,5,1,2,2,2,2,2,,2,2,1,2,4,6,,2,2,2,2,2,,,0.345831274986267,1,1
4,"zm4eycvp1hm448fu",10/19/2022 12:29:00,4,2,3,5,1,0,1,0,0,0,0,0,1,2,1995,1,0,0,0,0,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,2,3,2,2,4,5,5,2,,,,,,,2,5,,,2,4,4,2,2,3,1,4,4,2,,,,2,2,2,3,1,2,2,3,3,2,3,1,3,4,4,4,1,3,1,3,3,1,3,,,1,1,0,0,0,0,,,,,,1,0,1,1,0,0,0,1,2,4,4,2,2,1,0,1,4,1089.01,14,,10,,1,2,10/19/2022 12:10:00,1,1,2,6,6,6,2,1,1,2,1,4,,1,1,2,2,6,1,,1,1,1,,2,,0.854999959468842,2,1
7,"qnxzctnnc13uh3sg",10/19/2022 12:48:00,4,2,3,1,,0,0,0,0,1,0,0,1,2,1992,0,1,0,0,0,1,4,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,3,4,2,4,2,4,2,,,,,,,2,3,,,2,1,3,4,1,1,3,3,4,1,1,0,0,4,2,1,1,1,3,1,4,3,1,1,1,2,4,1,1,4,4,4,4,2,1,1,12,,1,1,0,0,0,0,2,1,1,2,3,3,1,0,0,0,0,0,0,2,1,3,4,2,3,1,0,4,921.29,4,,10,,5,6,10/19/2022 12:32:00,13,1,1,6,6,6,1,1,1,1,1,,1,1,1,1,4,3,,1,2,2,4,1,,,0.483492195606232,1,1
8,"55xug63jkshg459v",10/19/2022 12:48:00,4,2,3,1,,0,0,0,0,1,0,0,1,2,1995,1,0,0,0,0,1,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,3,2,5,4,1,2,2,2,,,,,,,1,2,,,3,1,2,1,2,1,4,4,3,2,,,,1,1,1,2,2,4,3,1,1,2,2,1,2,2,2,1,3,3,2,2,3,2,2,12,,2,0,0,0,1,0,2,3,1,3,2,2,1,0,0,0,0,0,0,1,1,1,1,3,4,1,0,4,949.08,14,,10,,1,2,10/19/2022 12:32:00,8,2,4,4,6,6,2,2,2,1,2,,4,1,1,1,2,2,,4,3,3,1,1,,,0.518354594707489,1,2
9,"dtk0g4vrfj2afuxk",10/19/2022 12:42:00,4,2,3,1,,0,0,0,0,1,0,0,1,2,1983,0,1,0,0,0,1,3,5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,2,2,7,4,1,4,1,4,,,,,,,2,2,,,4,2,1,1,1,1,1,1,2,1,0,1,0,1,2,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,12,,3,1,0,0,0,0,2,2,1,2,3,2,1,0,0,0,0,0,0,1,2,2,1,4,2,0,1,4,419.91,14,,10,,1,2,10/19/2022 12:34:00,2,3,6,6,6,6,2,2,2,2,2,3,,1,2,3,3,7,3,,2,2,2,,1,,0.411264002323151,1,3
11,"a1cpmbkvyqzg1287",10/19/2022 13:00:00,4,2,3,3,1,1,0,0,0,0,0,0,1,2,1985,0,1,0,0,0,1,5,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,3,3,4,4,2,4,2,4,3,,,,,,,4,5,,,2,4,2,2,1,2,2,2,4,2,,,,1,2,1,2,1,1,2,3,3,2,3,2,3,1,3,1,1,3,1,1,3,1,5,,,1,1,0,0,0,0,,,,,,3,0,1,1,1,0,0,0,1,3,4,3,2,5,1,0,4,1326.77,14,,10,,1,2,10/19/2022 12:37:00,12,1,6,6,6,6,2,2,2,2,2,,3,1,3,5,3,9,,5,1,1,1,2,,,0.400000005960464,2,1
12,"xyf039x9yx8ugyy8",10/19/2022 12:52:00,4,2,3,5,2,0,1,0,0,0,0,0,1,2,1970,0,0,1,0,0,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,2,3,2,3,4,2,4,2,4,2,,,,,,,2,5,,,1,4,3,1,2,4,4,4,4,2,,,,2,3,2,1,1,2,3,4,4,3,3,1,2,1,1,1,1,1,1,1,3,1,1,,,1,1,0,0,0,0,,,,,,3,0,1,0,0,0,0,0,1,2,1,2,1,2,0,1,4,579.1,4,,10,,5,6,10/19/2022 12:42:00,8,1,1,1,2,3,2,2,3,2,2,2,,1,3,3,2,10,1,,1,1,2,,2,,0.880649983882904,2,1
14,"eqaa59174hwq2max",10/19/2022 13:12:00,4,2,3,1,,0,0,0,0,1,0,0,1,1,1989,0,1,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,2,2,3,2,6,4,1,4,2,3,,,,,,,3,2,,,6,4,2,1,1,1,3,3,4,1,0,0,1,2,1,2,3,2,3,1,3,2,2,3,1,1,2,2,4,2,3,3,1,3,2,2,12,,1,1,0,0,0,0,1,2,2,1,3,4,0,1,1,0,0,0,1,1,1,1,2,4,1,0,1,4,1391.7,14,,10,,1,2,10/19/2022 12:48:00,11,3,5,5,5,4,1,2,1,2,3,3,,2,3,2,3,3,3,,2,3,2,,2,,0.235008016228676,1,3
15,"nqcy018w2dyj9h7z",10/19/2022 12:59:00,4,2,3,1,,0,0,0,0,1,0,0,1,2,1996,1,0,0,0,0,1,2,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,3,1,3,6,2,4,2,4,1,,,,,,,1,5,,,1,4,1,1,1,1,4,4,2,2,,,,1,1,1,1,1,3,4,4,4,2,2,1,1,1,1,1,1,1,1,1,2,3,3,12,,2,0,1,0,0,0,1,1,2,1,3,4,1,0,0,0,0,0,0,4,4,4,4,1,2,1,0,4,339.85,12,,13,,1,1,10/19/2022 12:53:00,8,1,2,2,2,6,2,2,2,1,1,,2,2,1,3,2,10,,1,1,1,3,2,,,0.497996956110001,1,1
